Anio,Denuncias,total
2019,Agresion sexual con penetracion,138
2019,Homicidios dolosos y asesinatos consumados,16
2019,Hurtos,111709
2019,Robos con fuerza en domicilios establecimientos y otras instalaciones,8784
2019,Robos con violencia e intimidacion,10813
2019,Secuestro,9
2019,Sustracciones de vehiculos,4981
2019,Trafico de drogas,1947
2020,Agresion sexual con penetracion,132
2020,Homicidios dolosos y asesinatos consumados,16
2020,Hurtos,63107
2020,Robos con fuerza en domicilios establecimientos y otras instalaciones,5832
2020,Robos con violencia e intimidacion,7575
2020,Secuestro,4
2020,Sustracciones de vehiculos,3727
2020,Trafico de drogas,1825
2021,Agresion sexual con penetracion,155
2021,Homicidios dolosos y asesinatos consumados,18
2021,Hurtos,73259
2021,Robos con fuerza en domicilios establecimientos y otras instalaciones,5904
2021,Robos con violencia e intimidacion,8609
2021,Secuestro,9
2021,Sustracciones de vehiculos,4302
2021,Trafico de drogas,1824
